Name,Code,Primary Language,Country Name,Country Code
Alabama,US-AL,en,United States of America,US
Alaska,US-AK,en,United States of America,US
Arizona,US-AZ,en,United States of America,US
Arkansas,US-AR,en,United States of America,US
California,US-CA,en,United States of America,US
Colorado,US-CO,en,United States of America,US
Connecticut,US-CT,en,United States of America,US
Delaware,US-DE,en,United States of America,US
District of Columbia,US-DC,en,United States of America,US
Florida,US-FL,en,United States of America,US
Georgia,US-GA,en,United States of America,US
Hawaii,US-HI,en,United States of America,US
Idaho,US-ID,en,United States of America,US
Illinois,US-IL,en,United States of America,US
Indiana,US-IN,en,United States of America,US
Iowa,US-IA,en,United States of America,US
Kansas,US-KS,en,United States of America,US
Kentucky,US-KY,en,United States of America,US
Louisiana,US-LA,en,United States of America,US
Maine,US-ME,en,United States of America,US
Maryland,US-MD,en,United States of America,US
Massachusetts,US-MA,en,United States of America,US
Michigan,US-MI,en,United States of America,US
Minnesota,US-MN,en,United States of America,US
Mississippi,US-MS,en,United States of America,US
Missouri,US-MO,en,United States of America,US
Montana,US-MT,en,United States of America,US
Nebraska,US-NE,en,United States of America,US
Nevada,US-NV,en,United States of America,US
New Hampshire,US-NH,en,United States of America,US
New Jersey,US-NJ,en,United States of America,US
New Mexico,US-NM,en,United States of America,US
New York,US-NY,en,United States of America,US
North Carolina,US-NC,en,United States of America,US
North Dakota,US-ND,en,United States of America,US
Ohio,US-OH,en,United States of America,US
Oklahoma,US-OK,en,United States of America,US
Oregon,US-OR,en,United States of America,US
Pennsylvania,US-PA,en,United States of America,US
Rhode Island,US-RI,en,United States of America,US
South Carolina,US-SC,en,United States of America,US
South Dakota,US-SD,en,United States of America,US
Tennessee,US-TN,en,United States of America,US
Texas,US-TX,en,United States of America,US
Utah,US-UT,en,United States of America,US
Vermont,US-VT,en,United States of America,US
Virginia,US-VA,en,United States of America,US
Washington,US-WA,en,United States of America,US
West Virginia,US-WV,en,United States of America,US
Wisconsin,US-WI,en,United States of America,US
Wyoming,US-WY,en,United States of America,US